incident_id,incident_time,incident_duration_raw,incident_type,incident_description,incident_location,incident_area,incident_fwy,incident_direction,incident_lat,incident_lng,context_text,station_id,node_index,sensor_name,sensor_direction,sensor_fwy,sensor_lat,sensor_lng,distance_km,channel_index,channel_name,shard_name,step_index,history_start_idx,history_end_idx,future_start_idx,future_end_idx,history_nan_ratio,future_nan_ratio
21379213,2023-01-02T15:20:00,,Other,CHAINS-Chain Control,I80 E / Applegate Ofr,Auburn,80,E,39.000546,-120.995612,2023-01-02 15:20；Auburn；CHAINS-Chain Control；I80 E / Applegate Ofr,316248,16305,Applegate,E,80,39.003551,-120.993668,0.37399077729628544,2,speed,p01_done.npy,472,184,472,472,616,0.0,0.0
21379262,2023-01-02T17:58:00,2.0,Other,FOG-Foggy Conditions,Us101 N / Robin Williams Tunnel S End,Marin,101,N,37.841814,-122.485413,2023-01-02 17:58；Marin；FOG-Foggy Conditions；Us101 N / Robin Williams Tunnel S End,402555,664,4A5334 loc 2,N,101,37.841973,-122.485648,0.027173758612643532,2,speed,p01_done.npy,503,215,503,503,647,0.0,0.0
21379303,2023-01-02T20:42:00,2.0,Other,WIND Advisory,Sr14 S / E Barrel Springs Rd,Antelope Valley,14,S,34.546383,-118.129866,2023-01-02 20:42；Antelope Valley；WIND Advisory；Sr14 S / E Barrel Springs Rd,767792,13831,AVE S,S,14,34.555214,-118.132256,1.006061550888064,2,speed,p01_done.npy,536,248,536,536,680,0.0,0.0
21379258,2023-01-03T02:00:00,1.0,Other,WIND Advisory,I680 N / Tp,Contra Costa,680,N,38.026944,-122.114167,2023-01-03 02:00；Contra Costa；WIND Advisory；I680 N / Tp,402411,2001,Waterfront rm-n-loop,N,680,38.024635,-122.109562,0.47814247444116653,2,speed,p01_done.npy,600,312,600,600,744,0.0,0.0
21379356,2023-01-03T10:51:00,2.0,AHazard,ANIMAL-Live or Dead Animal,I10 E / Morongo Tr Onr,San Gorgonio Pass,10,E,33.919665,-116.80278,2023-01-03 10:51；San Gorgonio Pass；ANIMAL-Live or Dead Animal；I10 E / Morongo Tr Onr,821334,14237,W/O MAIN ST,E,10,33.919176,-116.801121,0.16244964779707258,2,speed,p01_done.npy,706,418,706,706,850,0.0,0.0
21379249,2023-01-03T11:40:00,69.0,CarFire,CFIRE-Car Fire,Sr92 E / I880 N Sr92 E Con,Hayward,92,E,37.646394,-122.092816,2023-01-03 11:40；Hayward；CFIRE-Car Fire；Sr92 E / I880 N Sr92 E Con,412339,15486,Jackson off (E 92),E,92,37.645426,-122.093336,0.11696896308642298,2,speed,p01_done.npy,716,428,716,716,860,0.0,0.0
21379290,2023-01-03T11:48:00,240.0,1141,1179-Trfc Collision-1141 Enrt,I 710 N I405 CON / I710 N I405 CON,South LA,710,N,33.824277,-118.206651,2023-01-03 11:48；South LA；1179-Trfc Collision-1141 Enrt；I 710 N I405 CON / I710 N I405 CON,774444,13376,SO OF 405,N,710,33.82419,-118.20687,0.02242418772882693,2,speed,p01_done.npy,717,429,717,717,861,0.0,0.0
21379289,2023-01-03T12:12:00,85.0,UnknInj,1183-Trfc Collision-Unkn Inj,Us101 N / I405 S,West Valley,101,N,34.1611,-118.469614,2023-01-03 12:12；West Valley；1183-Trfc Collision-Unkn Inj；Us101 N / I405 S,764794,7721,RT 405 CN,N,101,34.160765,-118.469064,0.06283699623894311,2,speed,p01_done.npy,722,434,722,722,866,0.0,0.0
21379353,2023-01-03T12:13:00,386.0,Hazard,1125-Traffic Hazard,Sr55 S / Katella Ave,Orange County FSP,55,S,33.810147,-117.832076,2023-01-03 12:13；Orange County FSP；1125-Traffic Hazard；Sr55 S / Katella Ave,1215418,4013,KATELLA 1,S,55,33.809605,-117.832031,0.06041088568854836,2,speed,p01_done.npy,722,434,722,722,866,0.0,0.0
21379247,2023-01-03T12:38:00,60.0,NoInj,1182-Trfc Collision-No Inj,Us101 S / Paul Ave Ofr,San Francisco FSP,101,S,37.72401,-122.401464,2023-01-03 12:38；San Francisco FSP；1182-Trfc Collision-No Inj；Us101 S / Paul Ave Ofr,401357,9477,Paul Ave off-s-loop,S,101,37.723512,-122.401258,0.058263741011000215,2,speed,p01_done.npy,727,439,727,727,871,0.0,0.0
21379245,2023-01-03T13:12:00,104.0,NoInj,20002-Hit and Run No Injuries,I80 W / I80 W SR13 S CON,Oakland,80,W,37.852533,-122.29986,2023-01-03 13:12；Oakland；20002-Hit and Run No Injuries；I80 W / I80 W SR13 S CON,407874,5070,Ashby Ave off,W,80,37.853858,-122.300293,0.15215895910000557,2,speed,p01_done.npy,734,446,734,734,878,0.0,0.0
21379284,2023-01-03T13:13:00,54.0,Hazard,1125-Traffic Hazard,I105 W / WILMINGTON AVE OFR,South LA,105,W,33.928691,-118.229788,2023-01-03 13:13；South LA；1125-Traffic Hazard；I105 W / WILMINGTON AVE OFR,760207,1766,MONA,W,105,33.929479,-118.226883,0.2819793122588958,2,speed,p01_done.npy,734,446,734,734,878,0.0,0.0
21379281,2023-01-03T13:21:00,9.0,Hazard,1125-Traffic Hazard,Sr170 N / Sherman Wy Ofr,West Valley,170,N,34.195614,-118.402587,2023-01-03 13:21；West Valley；1125-Traffic Hazard；Sr170 N / Sherman Wy Ofr,763995,13380,ROSCOE 1,N,170,34.220025,-118.409585,2.789620339494446,2,speed,p01_done.npy,736,448,736,736,880,0.0,0.0
21379205,2023-01-03T13:23:00,61.0,NoInj,20002-Hit and Run No Injuries,El Camino Ave E Onr / Sr51 N,North Sac,51,N,38.611757,-121.425896,2023-01-03 13:23；North Sac；20002-Hit and Run No Injuries；El Camino Ave E Onr / Sr51 N,312807,12039,51NB at El Camino,N,51,38.612976,-121.424576,0.17755734941867252,2,speed,p01_done.npy,736,448,736,736,880,0.0,0.0
21379352,2023-01-03T13:35:00,274.0,1141,1179-Trfc Collision-1141 Enrt,Sr91 W / Imperial Hwy,Santa Ana,91,W,33.854437,-117.79064,2023-01-03 13:35；Santa Ana；1179-Trfc Collision-1141 Enrt；Sr91 W / Imperial Hwy,1220832,4892,IMPERIAL1,W,91,33.854451,-117.791255,0.05681193105022831,2,speed,p01_done.npy,739,451,739,739,883,0.0,0.0
21379277,2023-01-03T13:36:00,42.0,NoInj,1182-Trfc Collision-No Inj,I405 S / Artesia Blvd Ofr,South LA,405,S,33.873445,-118.34275,2023-01-03 13:36；South LA；1182-Trfc Collision-No Inj；I405 S / Artesia Blvd Ofr,717751,12058,ARTESIA 2,S,405,33.873847,-118.343065,0.05332772060307836,2,speed,p01_done.npy,739,451,739,739,883,0.0,0.0
21379218,2023-01-03T13:36:00,39.0,Hazard,1125-Traffic Hazard,Mountain House Pkwy Ofr / I580 E,Tracy,580,E,37.722096,-121.538496,2023-01-03 13:36；Tracy；1125-Traffic Hazard；Mountain House Pkwy Ofr / I580 E,1094310,7118,Off to Patterson Pass Rd,E,580,37.721047,-121.53725,0.16004979817227968,2,speed,p01_done.npy,739,451,739,739,883,0.0,0.0
21379276,2023-01-03T13:37:00,25.0,Hazard,1125-Traffic Hazard,I5 S / I5 S Sr110 N Con,Central LA,5,S,34.082782,-118.227275,2023-01-03 13:37；Central LA；1125-Traffic Hazard；I5 S / I5 S Sr110 N Con,716949,14257,DUVALL,S,5,34.083198,-118.228213,0.0979900129100093,2,speed,p01_done.npy,739,451,739,739,883,0.0,0.0
21379394,2023-01-03T13:37:00,58.0,1141,1179-Trfc Collision-1141Enrt,Sr91 W / Imperial Hwy,Orange County FSP,91,W,33.854437,-117.79064,2023-01-03 13:37；Orange County FSP；1179-Trfc Collision-1141Enrt；Sr91 W / Imperial Hwy,1220832,4892,IMPERIAL1,W,91,33.854451,-117.791255,0.05681193105022831,2,speed,p01_done.npy,739,451,739,739,883,0.0,0.0
21379275,2023-01-03T13:38:00,89.0,NoInj,1182-Trfc Collision-No Inj,I405 S / Artesia Blvd Ofr,LAFSP,405,S,33.873445,-118.34275,2023-01-03 13:38；LAFSP；1182-Trfc Collision-No Inj；I405 S / Artesia Blvd Ofr,717751,12058,ARTESIA 2,S,405,33.873847,-118.343065,0.05332772060307836,2,speed,p01_done.npy,739,451,739,739,883,0.0,0.0
21379348,2023-01-03T13:45:00,104.0,NoInj,1182-Trfc Collision-No Inj,I215 S No / Central Ave,Riverside,215,S,33.960849,-117.313738,2023-01-03 13:45；Riverside；1182-Trfc Collision-No Inj；I215 S No / Central Ave,819893,12614,CENTRAL/WATKINS,S,215,33.960216,-117.311857,0.187215336644844,2,speed,p01_done.npy,741,453,741,741,885,0.0,0.0
21379240,2023-01-03T13:45:00,0.0,Hazard,1125-Traffic Hazard,Sr92 W / Toll Plaza Onr,Redwood City,92,W,37.617296,-122.154533,2023-01-03 13:45；Redwood City；1125-Traffic Hazard；Sr92 W / Toll Plaza Onr,406712,7846,Clawiter Rd off,W,92,37.628164,-122.121409,3.157680795145236,2,speed,p01_done.npy,741,453,741,741,885,0.0,0.0
